"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor","Estat"
"2019","1","1","Ciutat Vella","1","el Raval",3775,"Total"
"2019","1","1","Ciutat Vella","2","el Barri Gòtic",4885,"Total"
"2019","1","1","Ciutat Vella","3","la Barceloneta",5079,"Total"
"2019","1","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",4682,"Total"
"2019","1","2","Eixample","5","el Fort Pienc",4919,"Total"
"2019","1","2","Eixample","6","la Sagrada Família",4379,"Total"
"2019","1","2","Eixample","7","la Dreta de l'Eixample",4819,"Total"
"2019","1","2","Eixample","8","l'Antiga Esquerra de l'Eixample",4262,"Total"
"2019","1","2","Eixample","9","la Nova Esquerra de l'Eixample",4620,"Total"
"2019","1","2","Eixample","10","Sant Antoni",4459,"Total"
"2019","1","3","Sants-Montjuïc","11","el Poble Sec",4563,"Total"
"2019","1","3","Sants-Montjuïc","13","la Marina de Port",2823,"Total"
"2019","1","3","Sants-Montjuïc","14","la Font de la Guatlla",3906,"Total"
"2019","1","3","Sants-Montjuïc","15","Hostafrancs",3277,"Total"
"2019","1","3","Sants-Montjuïc","16","la Bordeta",2898,"Total"
"2019","1","3","Sants-Montjuïc","17","Sants - Badal",3225,"Total"
"2019","1","3","Sants-Montjuïc","18","Sants",3681,"Total"
"2019","1","4","Les Corts","19","les Corts",4910,"Total"
"2019","1","4","Les Corts","20","la Maternitat i Sant Ramon",4551,"Total"
"2019","1","4","Les Corts","21","Pedralbes",6089,"Total"
"2019","1","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes",4614,"Total"
"2019","1","5","Sarrià-Sant Gervasi","23","Sarrià",6360,"Total"
"2019","1","5","Sarrià-Sant Gervasi","24","les Tres Torres",6191,"Total"
"2019","1","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",5570,"Total"
"2019","1","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",5488,"Total"
"2019","1","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",4505,"Total"
"2019","1","6","Gràcia","28","Vallcarca i els Penitents",3511,"Total"
"2019","1","6","Gràcia","29","el Coll",2667,"Total"
"2019","1","6","Gràcia","30","la Salut",4314,"Total"
"2019","1","6","Gràcia","31","la Vila de Gràcia",5242,"Total"
"2019","1","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova",4254,"Total"
"2019","1","7","Horta-Guinardó","33","el Baix Guinardó",3915,"Total"
"2019","1","7","Horta-Guinardó","34","Can Baró",3575,"Total"
"2019","1","7","Horta-Guinardó","35","el Guinardó",3307,"Total"
"2019","1","7","Horta-Guinardó","36","la Font d'en Fargues",2383,"Total"
"2019","1","7","Horta-Guinardó","37","el Carmel",3179,"Total"
"2019","1","7","Horta-Guinardó","38","la Teixonera",2299,"Total"
"2019","1","7","Horta-Guinardó","39","Sant Genís dels Agudells",2392,"Total"
"2019","1","7","Horta-Guinardó","40","Montbau",2324,"Total"
"2019","1","7","Horta-Guinardó","41","la Vall d'Hebron",4268,"Total"
"2019","1","7","Horta-Guinardó","42","la Clota",2912,"Total"
