"Any","Nom_Districte","Nom_Barri","media"
"2019","Ciutat Vella","el Barri Gòtic",5289
"2019","Ciutat Vella","el Raval",4156
"2019","Ciutat Vella","la Barceloneta",4913
"2019","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",4508
"2019","Eixample","el Fort Pienc",6356
"2019","Eixample","l'Antiga Esquerra de l'Eixample",4931
"2019","Eixample","la Dreta de l'Eixample",5123
"2019","Eixample","la Nova Esquerra de l'Eixample",4276
"2019","Eixample","la Sagrada Família",4241
"2019","Eixample","Sant Antoni",4287
"2019","Gràcia","el Camp d'en Grassot i Gràcia Nova",4544
"2019","Gràcia","el Coll",2693
"2019","Gràcia","la Salut",4840
"2019","Gràcia","la Vila de Gràcia",5068
"2019","Gràcia","Vallcarca i els Penitents",3957
"2019","Horta-Guinardó","Can Baró",3168
"2019","Horta-Guinardó","el Baix Guinardó",3931
"2019","Horta-Guinardó","el Carmel",2828
"2019","Horta-Guinardó","el Guinardó",3558
"2019","Horta-Guinardó","Horta",3299
"2019","Horta-Guinardó","la Clota",2912
"2019","Horta-Guinardó","la Font d'en Fargues",3486
"2019","Horta-Guinardó","la Teixonera",2677
"2019","Horta-Guinardó","la Vall d'Hebron",3796
"2019","Horta-Guinardó","Montbau",2658
"2019","Horta-Guinardó","Sant Genís dels Agudells",2345
"2019","Les Corts","la Maternitat i Sant Ramon",4213
"2019","Les Corts","les Corts",5359
"2019","Les Corts","Pedralbes",7541
"2019","Nou Barris","Canyelles",2292
"2019","Nou Barris","Ciutat Meridiana",1471
"2019","Nou Barris","el Turó de la Peira",2293
"2019","Nou Barris","la Guineueta",3131
"2019","Nou Barris","la Prosperitat",2428
"2019","Nou Barris","la Trinitat Nova",1676
"2019","Nou Barris","les Roquetes",2765
"2019","Nou Barris","Porta",2836
"2019","Nou Barris","Torre Baró",2805
"2019","Nou Barris","Vallbona",1522
"2019","Nou Barris","Verdun",2504
"2019","Nou Barris","Vilapicina i la Torre Llobeta",3062
"2019","Sant Andreu","el Bon Pastor",2292
"2019","Sant Andreu","el Congrés i els Indians",3236
"2019","Sant Andreu","la Sagrera",3636
"2019","Sant Andreu","la Trinitat Vella",3180
"2019","Sant Andreu","Navas",4363
"2019","Sant Andreu","Sant Andreu",3557
"2019","Sant Martí","Diagonal Mar i el Front Marítim del Poblenou",5773
"2019","Sant Martí","el Besòs i el Maresme",3755
"2019","Sant Martí","el Camp de l'Arpa del Clot",4136
"2019","Sant Martí","el Clot",4287
"2019","Sant Martí","el Parc i la Llacuna del Poblenou",3882
"2019","Sant Martí","el Poblenou",4765
"2019","Sant Martí","la Verneda i la Pau",2557
"2019","Sant Martí","la Vila Olímpica del Poblenou",5291
"2019","Sant Martí","Provençals del Poblenou",4924
"2019","Sant Martí","Sant Martí de Provençals",3798
"2019","Sants-Montjuïc","el Poble Sec",4140
"2019","Sants-Montjuïc","Hostafrancs",3759
"2019","Sants-Montjuïc","la Bordeta",3112
"2019","Sants-Montjuïc","la Font de la Guatlla",4106
"2019","Sants-Montjuïc","la Marina de Port",2908
"2019","Sants-Montjuïc","la Marina del Prat Vermell",1920
"2019","Sants-Montjuïc","Sants",3739
"2019","Sants-Montjuïc","Sants - Badal",3646
"2019","Sarrià-Sant Gervasi","el Putxet i el Farró",4764
"2019","Sarrià-Sant Gervasi","les Tres Torres",5678
"2019","Sarrià-Sant Gervasi","Sant Gervasi - Galvany",5604
"2019","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",5668
"2019","Sarrià-Sant Gervasi","Sarrià",5878
"2019","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes",5018
"2020","Ciutat Vella","el Barri Gòtic",4515
"2020","Ciutat Vella","el Raval",3809
"2020","Ciutat Vella","la Barceloneta",4483
"2020","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera",5251
"2020","Eixample","el Fort Pienc",4281
"2020","Eixample","l'Antiga Esquerra de l'Eixample",6026
"2020","Eixample","la Dreta de l'Eixample",5558
"2020","Eixample","la Nova Esquerra de l'Eixample",4669
"2020","Eixample","la Sagrada Família",4258
"2020","Eixample","Sant Antoni",4134
"2020","Gràcia","el Camp d'en Grassot i Gràcia Nova",4207
