"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor"
"2019","1","1","Ciutat Vella","1","el Raval",236
"2019","1","1","Ciutat Vella","2","el Barri Gòtic",411
"2019","1","1","Ciutat Vella","3","la Barceloneta",215
"2019","1","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",306
"2019","1","2","Eixample","5","el Fort Pienc",582
"2019","1","2","Eixample","6","la Sagrada Família",297
"2019","1","2","Eixample","7","la Dreta de l'Eixample",475
"2019","1","2","Eixample","8","l'Antiga Esquerra de l'Eixample",396
"2019","1","2","Eixample","9","la Nova Esquerra de l'Eixample",342
"2019","1","2","Eixample","10","Sant Antoni",356
"2019","1","3","Sants-Montjuïc","11","el Poble Sec",324
"2019","1","3","Sants-Montjuïc","13","la Marina de Port",191
"2019","1","3","Sants-Montjuïc","14","la Font de la Guatlla",247
"2019","1","3","Sants-Montjuïc","15","Hostafrancs",210
"2019","1","3","Sants-Montjuïc","16","la Bordeta",188
"2019","1","3","Sants-Montjuïc","17","Sants - Badal",248
"2019","1","3","Sants-Montjuïc","18","Sants",290
"2019","1","4","Les Corts","19","les Corts",411
"2019","1","4","Les Corts","20","la Maternitat i Sant Ramon",410
"2019","1","4","Les Corts","21","Pedralbes",1011
"2019","1","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes",380
"2019","1","5","Sarrià-Sant Gervasi","23","Sarrià",734
"2019","1","5","Sarrià-Sant Gervasi","24","les Tres Torres",853
"2019","1","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",747
"2019","1","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",637
"2019","1","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",448
"2019","1","6","Gràcia","28","Vallcarca i els Penitents",273
"2019","1","6","Gràcia","29","el Coll",194
"2019","1","6","Gràcia","30","la Salut",379
"2019","1","6","Gràcia","31","la Vila de Gràcia",468
"2019","1","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova",340
"2019","1","7","Horta-Guinardó","33","el Baix Guinardó",280
"2019","1","7","Horta-Guinardó","34","Can Baró",252
"2019","1","7","Horta-Guinardó","35","el Guinardó",262
"2019","1","7","Horta-Guinardó","36","la Font d'en Fargues",202
"2019","1","7","Horta-Guinardó","37","el Carmel",255
"2019","1","7","Horta-Guinardó","38","la Teixonera",147
"2019","1","7","Horta-Guinardó","39","Sant Genís dels Agudells",170
"2019","1","7","Horta-Guinardó","40","Montbau",159
"2019","1","7","Horta-Guinardó","41","la Vall d'Hebron",222
"2019","1","7","Horta-Guinardó","42","la Clota",170
"2019","1","7","Horta-Guinardó","43","Horta",266
"2019","1","8","Nou Barris","44","Vilapicina i la Torre Llobeta",229
"2019","1","8","Nou Barris","45","Porta",179
"2019","1","8","Nou Barris","46","el Turó de la Peira",145
"2019","1","8","Nou Barris","48","la Guineueta",194
"2019","1","8","Nou Barris","49","Canyelles",150
"2019","1","8","Nou Barris","50","les Roquetes",156
"2019","1","8","Nou Barris","51","Verdun",148
"2019","1","8","Nou Barris","52","la Prosperitat",150
"2019","1","8","Nou Barris","53","la Trinitat Nova",80
"2019","1","8","Nou Barris","55","Ciutat Meridiana",95
"2019","1","9","Sant Andreu","57","la Trinitat Vella",154
"2019","1","9","Sant Andreu","59","el Bon Pastor",146
"2019","1","9","Sant Andreu","60","Sant Andreu",251
"2019","1","9","Sant Andreu","61","la Sagrera",240
"2019","1","9","Sant Andreu","62","el Congrés i els Indians",251
"2019","1","9","Sant Andreu","63","Navas",379
"2019","1","10","Sant Martí","64","el Camp de l'Arpa del Clot",319
"2019","1","10","Sant Martí","65","el Clot",342
"2019","1","10","Sant Martí","66","el Parc i la Llacuna del Poblenou",259
"2019","1","10","Sant Martí","67","la Vila Olímpica del Poblenou",538
"2019","1","10","Sant Martí","68","el Poblenou",399
"2019","1","10","Sant Martí","69","Diagonal Mar i el Front Marítim del Poblenou",486
"2019","1","10","Sant Martí","70","el Besòs i el Maresme",303
"2019","1","10","Sant Martí","71","Provençals del Poblenou",369
"2019","1","10","Sant Martí","72","Sant Martí de Provençals",299
"2019","1","10","Sant Martí","73","la Verneda i la Pau",167
"2019","1","1","Ciutat Vella","1","el Raval",379
"2019","1","1","Ciutat Vella","2","el Barri Gòtic",556
"2019","1","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",520
"2019","1","2","Eixample","5","el Fort Pienc",4687
"2019","1","2","Eixample","7","la Dreta de l'Eixample",424
"2019","1","2","Eixample","8","l'Antiga Esquerra de l'Eixample",283
"2019","1","3","Sants-Montjuïc","15","Hostafrancs",191
"2019","1","4","Les Corts","19","les Corts",522
"2019","1","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",416
"2019","1","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",862
"2019","1","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",431
"2019","1","6","Gràcia","28","Vallcarca i els Penitents",205
"2019","1","6","Gràcia","29","el Coll",108
"2019","1","6","Gràcia","31","la Vila de Gràcia",437
"2019","1","7","Horta-Guinardó","37","el Carmel",319
"2019","1","7","Horta-Guinardó","38","la Teixonera",136
"2019","1","7","Horta-Guinardó","42","la Clota",170
