"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Nombre","Sup_ini","Sup_fin","Sup_Rang"
"2019","1","Ciutat Vella","1","el Raval",111,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",324,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",222,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",105,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",27,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",20,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",2,211,250,"211-250"
"2019","1","Ciutat Vella","1","el Raval",8,250,500,"250-500"
"2019","1","Ciutat Vella","1","el Raval",35,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",321,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",225,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",63,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",25,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",11,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",13,211,250,"211-250"
"2019","1","Ciutat Vella","1","el Raval",7,250,500,"250-500"
"2019","1","Ciutat Vella","1","el Raval",83,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",759,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",369,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",95,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",16,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",8,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",1,211,250,"211-250"
"2019","1","Ciutat Vella","1","el Raval",92,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",658,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",524,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",143,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",17,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",23,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",1,211,250,"211-250"
"2019","1","Ciutat Vella","1","el Raval",3,250,500,"250-500"
"2019","1","Ciutat Vella","1","el Raval",95,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",368,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",441,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",184,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",93,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",41,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",7,211,250,"211-250"
"2019","1","Ciutat Vella","1","el Raval",15,250,500,"250-500"
"2019","1","Ciutat Vella","1","el Raval",66,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",328,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",253,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",113,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",98,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",36,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",5,211,250,"211-250"
"2019","1","Ciutat Vella","1","el Raval",10,250,500,"250-500"
"2019","1","Ciutat Vella","1","el Raval",42,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",379,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",348,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",54,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",40,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",17,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",7,250,500,"250-500"
"2019","1","Ciutat Vella","1","el Raval",50,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",901,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",214,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",74,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",10,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",8,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",1,250,500,"250-500"
"2019","1","Ciutat Vella","1","el Raval",48,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",563,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",331,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",58,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",8,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",7,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",28,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",719,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",162,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",38,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",5,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",2,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",1,211,250,"211-250"
"2019","1","Ciutat Vella","1","el Raval",10,250,500,"250-500"
"2019","1","Ciutat Vella","1","el Raval",123,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",1055,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",258,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",77,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",18,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",9,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",3,211,250,"211-250"
"2019","1","Ciutat Vella","1","el Raval",2,250,500,"250-500"
"2019","1","Ciutat Vella","1","el Raval",97,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",613,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",292,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",33,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",14,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",10,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",1,211,250,"211-250"
"2019","1","Ciutat Vella","1","el Raval",14,0,30,"0-30"
"2019","1","Ciutat Vella","1","el Raval",227,31,60,"31-60"
"2019","1","Ciutat Vella","1","el Raval",290,61,90,"61-90"
"2019","1","Ciutat Vella","1","el Raval",72,91,120,"91-120"
"2019","1","Ciutat Vella","1","el Raval",11,121,150,"121-150"
"2019","1","Ciutat Vella","1","el Raval",5,151,210,"151-210"
"2019","1","Ciutat Vella","1","el Raval",1,211,250,"211-250"
